Order ID,Order Date,Product,Category,Region,Quantity,Unit Price,Discount,Total Sales
1001,2024-01-03,Wireless Mouse,Electronics,North,2,15.99,0.00,31.98
1002,2024-01-04,Coffee Maker,Home Appliances,South,1,79.99,0.10,71.99
1003,2024-01-05,Running Shoes,Sports,East,1,59.99,0.00,59.99
1004,2024-01-06,LED Monitor,Electronics,West,1,129.99,0.05,123.49
1005,2024-01-06,Desk Lamp,Furniture,North,3,22.50,0.00,67.50
1006,2024-01-07,Notebook,Stationery,South,5,2.99,0.00,14.95
1007,2024-01-07,Office Chair,Furniture,East,1,149.99,0.15,127.49
1008,2024-01-08,Blender,Home Appliances,West,2,49.99,0.00,99.98
1009,2024-01-09,Headphones,Electronics,North,1,39.99,0.00,39.99
1010,2024-01-10,Water Bottle,Sports,South,4,9.99,0.00,39.96
1011,2024-01-11,Printer Paper,Stationery,East,10,0.99,0.00,9.90
1012,2024-01-12,Smartwatch,Electronics,West,1,199.99,0.10,179.99
1013,2024-01-12,Desk Organizer,Furniture,North,2,12.99,0.00,25.98
1014,2024-01-13,Air Fryer,Home Appliances,South,1,89.99,0.05,85.49
1015,2024-01-14,Treadmill,Sports,East,1,499.99,0.20,399.99
1016,2024-01-15,Pen Set,Stationery,West,3,4.99,0.00,14.97
1017,2024-01-16,Keyboard,Electronics,North,1,29.99,0.00,29.99
1018,2024-01-17,Vacuum Cleaner,Home Appliances,South,1,129.99,0.10,116.99
1019,2024-01-18,Yoga Mat,Sports,East,2,19.99,0.00,39.98
1020,2024-01-19,Bookshelf,Furniture,West,1,89.99,0.00,89.99
1021,2024-01-20,Stapler,Stationery,North,2,5.99,0.00,11.98
1022,2024-01-21,Tablet,Electronics,South,1,249.99,0.15,212.49
1023,2024-01-22,Toaster,Home Appliances,East,1,29.99,0.00,29.99
1024,2024-01-23,Dumbbells,Sports,West,2,24.99,0.00,49.98
1025,2024-01-24,Office Desk,Furniture,North,1,199.99,0.10,179.99
1026,2024-01-25,Markers,Stationery,South,6,1.99,0.00,11.94
